timestamp,fps,frameTime,memoryUsed,drawSprite,drawRect,drawText,drawLine,totalDrawCalls,save,restore,setTransform,scale,translate,globalAlpha,fillRect,clearRect,drawImage,totalPixelsDrawn,overdrawRatio,offscreenDrawRatio,fillRectArea,clearRectArea,bgTime,bgCalls,tilemapTime,tilemapCalls,entitiesTime,entitiesCalls,hudTime,hudCalls,gpuLoad,hardwareAccel,webGL,gpuTier
30576.10000000149,59.94,16.20,5.41,42,0,4,0,46,44,44,2,0,0,0,2,0,73,96768,0.000,0.429,1105920,0,0.00,1,0.10,1,0.10,1,0.00,1,5.5,true,false,unknown
30592.89999999851,59.94,16.80,5.41,42,0,4,0,46,44,44,2,0,0,0,2,0,73,96768,0.000,0.429,1105920,0,0.10,1,0.00,1,0.00,1,0.20,1,5.5,true,false,unknown
30610.39999999851,59.94,17.50,5.47,42,0,4,0,46,44,44,2,0,0,0,2,0,74,96768,0.000,0.429,1105920,0,0.00,1,0.00,1,0.10,1,0.10,1,5.5,true,false,unknown
30626.800000000745,59.94,16.40,5.47,42,0,4,0,46,44,44,2,0,0,0,2,0,74,96768,0.000,0.429,1105920,0,0.10,1,0.10,1,0.00,1,0.10,1,5.5,true,false,unknown
30642.800000000745,59.94,16.00,5.47,42,0,4,0,46,44,44,2,0,0,0,2,0,74,96768,0.000,0.429,1105920,0,0.10,1,0.00,1,0.10,1,0.00,1,5.5,true,false,unknown
30659.89999999851,59.94,17.10,5.47,42,0,4,0,46,44,44,2,0,0,0,2,0,74,96768,0.000,0.429,1105920,0,0.00,1,0.10,1,0.00,1,0.20,1,5.5,true,false,unknown
30676.199999999255,59.94,16.30,5.55,42,0,4,0,46,44,44,2,0,0,0,2,0,74,96768,0.000,0.476,1105920,0,0.00,1,0.10,1,0.10,1,0.00,1,5.5,true,false,unknown
30692.89999999851,59.94,16.70,5.55,42,0,4,0,46,44,44,2,0,0,0,2,0,74,96768,0.000,0.476,1105920,0,0.00,1,0.20,1,0.00,1,0.00,1,5.5,true,false,unknown
30709.39999999851,59.94,16.50,5.55,42,0,4,0,46,44,44,2,0,0,0,2,0,73,96768,0.000,0.476,1105920,0,0.10,1,0.00,1,0.10,1,0.00,1,5.5,true,false,unknown
30726.800000000745,59.94,17.40,5.61,42,0,4,0,46,44,44,2,0,0,0,2,0,73,96768,0.000,0.476,1105920,0,0.10,1,0.10,1,0.10,1,0.10,1,5.5,true,false,unknown
30743,59.94,16.20,5.61,42,0,4,0,46,44,44,2,0,0,0,2,0,73,96768,0.000,0.476,1105920,0,0.00,1,0.20,1,0.00,1,0.10,1,5.5,true,false,unknown
30760.10000000149,59.94,17.10,5.61,42,0,4,0,46,44,44,2,0,0,0,2,0,73,96768,0.000,0.476,1105920,0,0.00,1,0.10,1,0.00,1,0.10,1,5.5,true,false,unknown
30777,59.94,16.90,5.67,42,0,4,0,46,44,44,2,0,0,0,2,0,73,96768,0.000,0.476,1105920,0,0.10,1,0.10,1,0.10,1,0.10,1,5.5,true,false,unknown
30793.199999999255,59.94,16.20,5.67,42,0,4,0,46,44,44,2,0,0,0,2,0,73,96768,0.000,0.476,1105920,0,0.00,1,0.10,1,0.00,1,0.10,1,5.5,true,false,unknown
30809.39999999851,59.94,16.20,5.67,42,0,4,0,46,44,44,2,0,0,0,2,0,74,96768,0.000,0.524,1105920,0,0.10,1,0.10,1,0.10,1,0.10,1,5.5,true,false,unknown
30826.699999999255,59.94,17.30,5.67,42,0,4,0,46,44,44,2,0,0,0,2,0,74,96768,0.000,0.524,1105920,0,0.00,1,0.10,1,0.00,1,0.10,1,5.5,true,false,unknown
30842.800000000745,59.94,16.10,5.75,42,0,4,0,46,44,44,2,0,0,0,2,0,74,96768,0.000,0.524,1105920,0,0.00,1,0.10,1,0.00,1,0.20,1,5.5,true,false,unknown
30860.10000000149,59.94,17.30,5.75,41,0,4,0,45,44,44,2,0,0,0,2,0,74,94464,0.000,0.537,1105920,0,0.10,1,0.10,1,0.10,1,0.10,1,5.4,true,false,unknown
30876.199999999255,59.94,16.10,5.75,41,0,4,0,45,44,44,2,0,0,0,2,0,74,94464,0.000,0.537,1105920,0,0.10,1,0.00,1,0.00,1,0.10,1,5.4,true,false,unknown
30893.199999999255,59.94,17.00,5.81,41,0,4,0,45,44,44,2,0,0,0,2,0,74,94464,0.000,0.537,1105920,0,0.00,1,0.10,1,0.00,1,0.00,1,5.4,true,false,unknown
30909.39999999851,59.94,16.20,5.81,41,0,4,0,45,44,44,2,0,0,0,2,0,73,94464,0.000,0.537,1105920,0,0.10,1,0.00,1,0.10,1,0.00,1,5.4,true,false,unknown
30926.5,59.94,17.10,5.81,41,0,4,0,45,44,44,2,0,0,0,2,0,73,94464,0.000,0.585,1105920,0,0.00,1,0.20,1,0.00,1,0.10,1,5.4,true,false,unknown
30943.60000000149,59.94,17.10,5.87,41,0,4,0,45,44,44,2,0,0,0,2,0,73,94464,0.000,0.585,1105920,0,0.00,1,0.10,1,0.10,1,0.00,1,5.4,true,false,unknown
30959.60000000149,59.94,16.00,5.87,41,0,4,0,45,44,44,2,0,0,0,2,0,73,94464,0.000,0.585,1105920,0,0.10,1,0.10,1,0.00,1,0.00,1,5.4,true,false,unknown
30976.60000000149,59.94,17.00,5.87,41,0,4,0,45,44,44,2,0,0,0,2,0,73,94464,0.000,0.585,1105920,0,0.00,1,0.00,1,0.10,1,0.10,1,5.4,true,false,unknown
30993.800000000745,59.94,17.20,5.93,41,0,4,0,45,44,44,2,0,0,0,2,0,73,94464,0.000,0.585,1105920,0,0.00,1,0.00,1,0.00,1,0.10,1,5.4,true,false,unknown
